Cod_setor;Cod_Grandes Regiões;Nome_Grande_Regiao;Cod_UF;Nome_da_UF ;Cod_meso;Nome_da_meso;Cod_micro;Nome_da_micro;Cod_RM;Nome_da_RM;Cod_municipio;Nome_do_municipio;Cod_distrito;Nome_do_distrito;Cod_subdistrito;Nome_do_subdistrito;Cod_bairro;Nome_do_bairro;Situacao_setor;Domicilios_Particulares_Permanentes;Moradores_Domicilios_Particulares;Media_Moradores_por_Domicilio;Variancia_Moradores;Renda_Media_Mensal_Pessoas_10_Anos_ou_Mais;Variancia_Renda_Pessoas;Renda_Media_Mensal_Domicilios;Variancia_Renda_Domicilios;Renda_Media_Mensal_Pessoas_Com_Rendimento;Variancia_Renda_Pessoas_Com_Rendimento;Renda_Media_Mensal_Domicilios_Com_Rendimento;Variancia_Renda_Domicilios_Com_Rendimento
350950205000001;3;Região Sudeste;35;São Paulo;3507;Campinas;35032;Campinas;22;RM Campinas;3509502;CAMPINAS;350950205;CAMPINAS;35095020500;CAMPINAS;3509502000;CAMPINAS (todos os setores);1;174.0;377.0;2.17;1.54;1641.1;3425639.64;2147.0;3395263.26;1365.62;2774392.33;1897.89;2845838.48
350950205000002;3;Região Sudeste;35;São Paulo;3507;Campinas;35032;Campinas;22;RM Campinas;3509502;CAMPINAS;350950205;CAMPINAS;35095020500;CAMPINAS;3509502000;CAMPINAS (todos os setores);1;290.0;654.0;2.26;2.34;2003.61;3534077.33;2168.09;3467342.2;1350.39;2496501.71;1752.09;2535404.6
350950205000003;3;Região Sudeste;35;São Paulo;3507;Campinas;35032;Campinas;22;RM Campinas;3509502;CAMPINAS;350950205;CAMPINAS;35095020500;CAMPINAS;3509502000;CAMPINAS (todos os setores);1;252.0;449.0;1.78;0.98;1188.4;1572346.72;1592.97;1462573.33;972.59;1256122.08;1448.4;1181209.56
350950205000004;3;Região Sudeste;35;São Paulo;3507;Campinas;35032;Campinas;22;RM Campinas;3509502;CAMPINAS;350950205;CAMPINAS;35095020500;CAMPINAS;3509502000;CAMPINAS (todos os setores);1;307.0;656.0;2.14;1.28;2786.26;9867950.34;2889.81;9935672.47;2017.53;7113537.86;2440.62;7573593.39
350950205000005;3;Região Sudeste;35;São Paulo;3507;Campinas;35032;Campinas;22;RM Campinas;3509502;CAMPINAS;350950205;CAMPINAS;35095020500;CAMPINAS;3509502000;CAMPINAS (todos os setores);1;202.0;380.0;1.88;1.02;2290.45;3923497.81;2584.75;3665493.62;1908.33;3439116.94;2400.17;3143976.18
350950205000006;3;Região Sudeste;35;São Paulo;3507;Campinas;35032;Campinas;22;RM Campinas;3509502;CAMPINAS;350950205;CAMPINAS;35095020500;CAMPINAS;3509502000;CAMPINAS (todos os setores);1;201.0;347.0;1.73;0.97;1680.13;2201326.51;1805.91;2138639.38;1442.51;2134693.78;1716.27;2069731.47
350950205000007;3;Região Sudeste;35;São Paulo;3507;Campinas;35032;Campinas;22;RM Campinas;3509502;CAMPINAS;350950205;CAMPINAS;35095020500;CAMPINAS;3509502000;CAMPINAS (todos os setores);1;202.0;414.0;2.05;1.43;2735.69;8623444.61;2939.41;8667027.05;1999.18;6385725.55;2492.64;6733010.48
350950205000008;3;Região Sudeste;35;São Paulo;3507;Campinas;35032;Campinas;22;RM Campinas;3509502;CAMPINAS;350950205;CAMPINAS;35095020500;CAMPINAS;3509502000;CAMPINAS (todos os setores);1;217.0;455.0;2.1;1.21;2922.15;7774147.29;3139.14;7669751.2;2104.36;6088112.19;2662.66;6217140.83
350950205000009;3;Região Sudeste;35;São Paulo;3507;Campinas;35032;Campinas;22;RM Campinas;3509502;CAMPINAS;350950205;CAMPINAS;35095020500;CAMPINAS;3509502000;CAMPINAS (todos os setores);1;289.0;705.0;2.44;1.86;2273.05;4121647.36;2371.52;4066476.4;1612.53;3351957.32;1973.96;3389882.57
350950205000010;3;Região Sudeste;35;São Paulo;3507;Campinas;35032;Campinas;22;RM Campinas;3509502;CAMPINAS;350950205;CAMPINAS;35095020500;CAMPINAS;3509502000;CAMPINAS (todos os setores);1;147.0;303.0;2.06;1.37;1785.17;3444015.55;2168.76;3351370.95;1305.47;2454188.35;1783.53;2500492.99
