Cod_setor;Cod_Grandes Regiões;Nome_Grande_Regiao;Cod_UF;Nome_da_UF ;Cod_meso;Nome_da_meso;Cod_micro;Nome_da_micro;Cod_RM;Nome_da_RM;Cod_municipio;Nome_do_municipio;Cod_distrito;Nome_do_distrito;Cod_subdistrito;Nome_do_subdistrito;Cod_bairro;Nome_do_bairro;Situacao_setor;Domicilios_Particulares_Permanentes;Moradores_Domicilios_Particulares;Media_Moradores_por_Domicilio;Variancia_Moradores;Renda_Media_Mensal_Pessoas_10_Anos_ou_Mais;Variancia_Renda_Pessoas;Renda_Media_Mensal_Domicilios;Variancia_Renda_Domicilios;Renda_Media_Mensal_Pessoas_Com_Rendimento;Variancia_Renda_Pessoas_Com_Rendimento;Renda_Media_Mensal_Domicilios_Com_Rendimento;Variancia_Renda_Domicilios_Com_Rendimento
350010505000001;3;Região Sudeste;35;São Paulo;3508;Presidente Prudente;35035;Adamantina;0;Municípios não pertencentes a estrutura de RM;3500105;ADAMANTINA;350010505;ADAMANTINA;35001050500;ADAMANTINA;3500105000;ADAMANTINA (todos os setores);1;149.0;304.0;2.04;1.11;2103.64;4968912.37;2191.9;4984036.79;1530.51;4163648.03;1901.54;4468808.1
350010505000002;3;Região Sudeste;35;São Paulo;3508;Presidente Prudente;35035;Adamantina;0;Municípios não pertencentes a estrutura de RM;3500105;ADAMANTINA;350010505;ADAMANTINA;35001050500;ADAMANTINA;3500105000;ADAMANTINA (todos os setores);1;294.0;785.0;2.67;1.77;1899.91;3969367.45;1980.76;3978169.48;1180.37;2621328.25;1572.39;2875973.5
350010505000003;3;Região Sudeste;35;São Paulo;3508;Presidente Prudente;35035;Adamantina;0;Municípios não pertencentes a estrutura de RM;3500105;ADAMANTINA;350010505;ADAMANTINA;35001050500;ADAMANTINA;3500105000;ADAMANTINA (todos os setores);1;214.0;519.0;2.43;1.33;3170.82;14377539.93;3246.68;14475686.47;1908.64;10014924.33;2536.42;11721183.0
350010505000004;3;Região Sudeste;35;São Paulo;3508;Presidente Prudente;35035;Adamantina;0;Municípios não pertencentes a estrutura de RM;3500105;ADAMANTINA;350010505;ADAMANTINA;35001050500;ADAMANTINA;3500105000;ADAMANTINA (todos os setores);1;288.0;788.0;2.74;1.85;2782.6;12624098.34;2882.7;12790260.49;1583.46;7209788.84;2141.47;8558034.75
350010505000005;3;Região Sudeste;35;São Paulo;3508;Presidente Prudente;35035;Adamantina;0;Municípios não pertencentes a estrutura de RM;3500105;ADAMANTINA;350010505;ADAMANTINA;35001050500;ADAMANTINA;3500105000;ADAMANTINA (todos os setores);1;291.0;813.0;2.79;1.85;2050.27;101395096.06;2455.27;120508046.01;1423.52;40900639.93;1908.13;53922664.72
350010505000006;3;Região Sudeste;35;São Paulo;3508;Presidente Prudente;35035;Adamantina;0;Municípios não pertencentes a estrutura de RM;3500105;ADAMANTINA;350010505;ADAMANTINA;35001050500;ADAMANTINA;3500105000;ADAMANTINA (todos os setores);1;302.0;867.0;2.87;1.85;1782.69;4307831.16;1936.59;4381952.28;1159.65;2686777.89;1557.3;2989337.11
350010505000007;3;Região Sudeste;35;São Paulo;3508;Presidente Prudente;35035;Adamantina;0;Municípios não pertencentes a estrutura de RM;3500105;ADAMANTINA;350010505;ADAMANTINA;35001050500;ADAMANTINA;3500105000;ADAMANTINA (todos os setores);1;190.0;562.0;2.96;1.71;1304.82;2705084.03;1377.31;2755807.72;815.53;2063533.34;1085.97;2455154.14
350010505000008;3;Região Sudeste;35;São Paulo;3508;Presidente Prudente;35035;Adamantina;0;Municípios não pertencentes a estrutura de RM;3500105;ADAMANTINA;350010505;ADAMANTINA;35001050500;ADAMANTINA;3500105000;ADAMANTINA (todos os setores);1;289.0;827.0;2.86;1.81;1425.5;2139567.23;1509.04;2138886.51;963.41;1378084.77;1244.41;1430443.23
350010505000009;3;Região Sudeste;35;São Paulo;3508;Presidente Prudente;35035;Adamantina;0;Municípios não pertencentes a estrutura de RM;3500105;ADAMANTINA;350010505;ADAMANTINA;35001050500;ADAMANTINA;3500105000;ADAMANTINA (todos os setores);1;203.0;563.0;2.77;1.89;1179.92;1492305.37;1287.76;1489811.31;789.58;1060679.25;1072.02;1137512.69
350010505000010;3;Região Sudeste;35;São Paulo;3508;Presidente Prudente;35035;Adamantina;0;Municípios não pertencentes a estrutura de RM;3500105;ADAMANTINA;350010505;ADAMANTINA;35001050500;ADAMANTINA;3500105000;ADAMANTINA (todos os setores);1;243.0;734.0;3.02;1.7;1054.77;1089261.85;1114.39;1084370.17;642.84;638963.89;889.46;664794.27
350010505000011;3;Região Sudeste;35;São Paulo;3508;Presidente Prudente;35035;Adamantina;0;Municípios não pertencentes a estrutura de RM;3500105;ADAMANTINA;350010505;ADAMANTINA;35001050500;ADAMANTINA;3500105000;ADAMANTINA (todos os setores);1;318.0;887.0;2.79;1.73;1766.19;3192530.95;1794.4;3192904.16;1082.28;2008567.14;1444.21;2157801.66
350010505000012;3;Região Sudeste;35;São Paulo;3508;Presidente Prudente;35035;Adamantina;0;Municípios não pertencentes a estrutura de RM;3500105;ADAMANTINA;350010505;ADAMANTINA;35001050500;ADAMANTINA;3500105000;ADAMANTINA (todos os setores);1;243.0;744.0;3.06;1.5;3436.72;30124466.49;3523.72;30582460.63;1848.18;19178107.7;2647.61;25370245.68
